,code
639,1239
640,5709
641,5708
642,1238
643,1237
644,5837
645,5836
646,1236
647,1235
648,5706
649,5705
650,1234
651,1233
652,5789
653,5788
654,5787
655,1232
656,1231
657,5784
658,5783
659,5782
660,1230
661,1229
662,5883
663,5882
664,5881
665,1228
666,1227
667,5780
668,5779
669,1226
670,5834
671,5833
672,5831
673,1225
674,1224
675,5777
676,5776
677,1222
678,5774
679,5773
680,5772
681,1223
682,1221
683,5916
684,5915
685,1220
686,5829
687,1219
688,5879
689,5878
690,1218
691,1217
692,5827
693,5826
694,1216
695,1215
696,5876
697,5875
698,5874
699,1214
700,1213
701,5824
702,5823
703,5822
704,1212
705,1211
706,5948
707,5947
708,1210
709,1209
710,5819
711,5818
712,5817
713,1208
714,1207
715,5872
716,5871
717,1206
718,1205
719,5815
720,1204
721,5869
722,5868
723,1203
724,1202
725,5913
726,5912
727,1201
728,5865
729,5864
730,5862
731,1200
732,1199
733,5904
734,1198
735,1197
736,5860
737,5858
738,5857
739,1196
740,1195
741,5945
742,5944
743,1194
744,1193
745,5902
746,5901
747,1192
748,1190
749,5846
750,5845
751,5844
752,1189
753,5842
754,5841
755,1187
756,1186
757,5942
758,5941
759,1185
760,1184
761,5899
762,5898
763,5897
764,1183
765,1182
766,5975
767,5974
768,5973
769,1181
770,1180
771,5895
772,5894
773,1179
774,1178
775,5939
776,5938
777,5937
778,1177
779,1176
780,5892
781,5891
782,1175
783,1174
784,1173
785,5888
786,5887
787,1172
788,1171
789,5885
790,1170
791,5935
792,5934
793,1169
794,1168
795,5971
796,5970
797,5969
798,1167
799,1166
800,5932
801,5931
802,5930
803,1165
804,1164
805,5928
806,5927
807,1163
808,1162
809,1161
810,1160
811,5925
812,5924
813,5923
814,1159
815,1158
816,5967
817,5966
818,1157
819,1156
820,5921
821,5920
822,1155
823,1154
824,1153
825,1152
826,5964
827,5963
828,1151
829,1150
830,1149
831,1148
832,5961
833,5960
834,1147
835,1146
836,6003
837,6002
838,1145
839,1144
840,5958
841,5957
842,1143
843,1142
844,5955
845,5954
846,1141
847,1140
848,1139
849,1138
850,5952
851,5951
852,5950
853,1137
854,1136
855,6000
856,5999
857,5998
858,1135
859,1134
860,1133
861,5996
862,5995
863,1132
864,5993
865,5992
866,1129
867,1128
868,1127
869,5981
870,1130
871,1126
872,1125
873,1124
874,5979
875,5978
876,5977
877,1123
878,1122
879,1121
880,1119
881,1120
882,1118
883,1117
884,1116
885,1115
886,1114
887,1113
888,1112
889,1111
890,1110
891,1109
892,1108
893,1107
894,1106
895,1105
896,1104
897,1103
898,1102
899,1101
900,1100
901,1099
902,1098
903,1097
904,1096
905,1095
906,1094
907,1093
908,1092
909,1091
910,1090
911,1089
912,1088
913,1087
914,1086
915,1085
916,1084
917,1083
918,1082
919,1081
920,1080
921,1079
922,1078
923,1077
924,1076
925,1075
926,1074
927,1073
928,1072
929,1071
930,1070
931,1069
932,1068
933,1067
934,1066
935,1065
936,1064
937,1063
938,1062
939,1061
940,1060
941,1057
942,1059
943,1056
944,1055
945,1054
946,1053
947,1050
948,1049
949,1052
950,1047
951,1046
952,1044
953,1043
954,1042
955,1041
956,1040
957,1039
958,1038
959,1037
960,1036
961,1035
962,1034
963,1033
964,1032
965,1031
966,1029
967,1028
968,1027
969,1026
970,1030
971,1025
972,1024
973,1022
974,1023
975,1021
976,1020
977,1018
978,1013
979,1012
980,1016
981,1011
982,1010
983,1009
984,1006
985,1007
986,1004
987,1002
988,1001
989,1000
990,999
991,1003
992,998
993,997
994,996
995,995
996,993
997,994
998,992
999,991
1000,990
1001,989
1002,988
1003,986
1004,985
1005,984
1006,983
1007,982
1008,981
1009,980
1010,979
