,code
0,7753
1,7752
2,7751
3,7750
4,7749
5,7748
6,7747
7,7746
8,7745
9,7744
10,7743
11,7742
12,7741
13,7740
14,7739
15,7738
16,7737
17,7736
18,7735
19,7734
20,7733
21,7732
22,7731
23,7730
24,7729
25,7728
26,7727
27,7726
28,7725
29,7724
30,7723
31,7722
32,7721
33,7720
34,7719
35,7718
36,7717
37,7716
38,7715
39,7714
40,7713
41,7712
42,7711
43,7710
44,7709
45,7708
46,7707
47,7706
48,7705
49,7704
50,7703
51,7702
52,7701
53,7700
54,7699
55,7698
56,7697
57,7696
58,7695
59,7694
60,7693
61,7692
62,7691
63,7690
64,7689
65,7688
66,7687
67,7686
68,7685
69,7684
70,7683
71,7682
72,7681
73,7680
74,7679
75,7678
76,7677
77,7676
78,7675
79,7674
80,7673
81,7672
82,7671
83,7670
84,7669
85,7668
86,7667
87,7666
88,7665
89,7664
90,7663
91,7662
92,7661
93,7660
94,7659
95,7658
96,7657
97,7656
98,7655
99,7654
100,7653
101,7652
102,7651
103,7650
104,7649
105,7648
106,7647
107,7646
108,7645
109,7644
110,7643
111,7642
112,7641
113,7640
114,7639
115,7638
116,7637
117,7636
118,7635
119,7634
120,7633
121,7632
122,7630
123,7629
124,7628
125,7627
126,7626
127,7625
128,7624
129,7623
130,7622
131,7621
132,7620
133,7619
134,7618
135,7617
136,7616
137,7615
138,7614
139,7613
140,7612
141,7611
142,7610
143,7609
144,7608
145,7607
146,7606
147,7605
148,7604
149,7603
150,7602
151,7601
152,7600
153,7599
154,7598
155,7597
156,7596
157,7595
158,7594
159,7593
160,7592
161,7591
162,7590
163,7589
164,7588
165,7587
166,7586
167,7585
168,7584
169,7583
170,7582
171,7581
172,7580
173,7579
174,7578
175,7577
176,7576
177,7575
178,7574
179,7573
180,7572
181,7571
182,7570
183,7569
184,7568
185,7567
186,7566
187,7565
188,7564
189,7563
190,7562
191,7561
192,7560
193,7559
194,7558
195,7557
196,7556
197,7555
198,7554
199,7553
200,7552
201,7551
202,7550
203,7549
204,7548
